,Company,Cluster_Number
0,AGN,1
216,AGN,1
358,AGN,1
2,EOG,2
77,EOG,2
101,EOG,2
333,EOG,2
3,CPB,3
4,CPB,3
227,CPB,3
248,CPB,3
366,CPB,3
415,CPB,3
425,CPB,3
6,YUM,4
9,JWN,5
67,JWN,5
72,JWN,5
179,JWN,5
226,JWN,5
271,JWN,5
275,JWN,5
355,JWN,5
377,JWN,5
13,TAP,6
31,TAP,6
238,TAP,6
401,TAP,6
14,VRTX,7
74,VRTX,7
104,VRTX,7
310,VRTX,7
38,BWA,8
39,AAPL,9
45,SPG,10
36,FIS,11
41,FIS,11
48,FIS,11
120,FIS,11
218,FIS,11
234,FIS,11
247,FIS,11
303,FIS,11
51,GT,12
86,GT,12
93,GT,12
105,GT,12
155,GT,12
208,GT,12
240,GT,12
378,GT,12
382,GT,12
53,GIS,13
133,GIS,13
305,GIS,13
367,GIS,13
58,MJN,14
165,MJN,14
290,MJN,14
420,MJN,14
50,NWL,15
57,NWL,15
66,NWL,15
88,NWL,15
257,NWL,15
274,NWL,15
277,NWL,15
306,NWL,15
342,NWL,15
347,NWL,15
409,NWL,15
70,GE,16
178,GE,16
261,GE,16
10,GD,17
71,GD,17
20,VAR,18
91,VAR,18
158,VAR,18
260,VAR,18
265,VAR,18
269,VAR,18
340,VAR,18
388,VAR,18
8,AMZN,19
94,AMZN,19
263,AMZN,19
325,AMZN,19
61,MAS,20
99,MAS,20
115,MAS,20
207,MAS,20
212,MAS,20
235,MAS,20
301,MAS,20
59,MAR,21
79,MAR,21
100,MAR,21
156,MAR,21
276,MAR,21
343,MAR,21
386,MAR,21
402,MAR,21
107,MAT,22
109,SNA,23
18,FOXA,24
102,FOXA,24
111,FOXA,24
123,FOXA,24
128,FOXA,24
137,FOXA,24
146,FOXA,24
187,FOXA,24
194,FOXA,24
282,FOXA,24
416,FOXA,24
112,SNI,25
223,SNI,25
117,MAC,26
164,MAC,26
232,MAC,26
237,MAC,26
56,JNJ,27
124,JNJ,27
196,JNJ,27
268,JNJ,27
