Cluster,Companies
1,3
2,4
3,7
4,1
5,9
6,4
7,4
8,1
9,1
10,1
11,8
12,9
13,4
14,4
15,11
16,3
17,2
18,8
19,4
20,7
21,8
22,1
23,1
24,11
25,2
26,4
27,5
28,3
29,7
30,2
31,13
32,5
33,2
34,2
35,5
36,1
37,4
38,3
39,4
40,3
41,4
42,10
43,7
44,9
45,4
46,4
47,5
48,3
49,6
50,4
51,1
52,3
53,14
54,1
55,6
56,3
57,2
58,8
59,7
60,1
61,5
62,1
63,4
64,3
65,1
66,6
67,3
68,1
69,7
70,12
71,5
72,3
73,4
74,4
75,1
76,1
77,4
78,5
79,1
80,3
81,1
82,7
83,1
84,12
85,1
86,5
87,4
88,12
89,5
90,8
91,3
92,3
93,3
94,5
