,Company Name,Cluster,,Cluster,Company_Cluster
0,CERN,102,103,1,1
1,PCL,33,34,2,1
2,AGN,0,1,3,1
3,EOG,1,2,4,1
4,JWN,2,3,5,2
5,CERN,102,103,6,1
6,LB,90,91,7,3
7,A,96,97,8,1
8,SEE,152,153,9,1
9,NOC,53,54,10,1
10,CAM,88,89,11,1
11,KORS,133,134,12,1
12,NOC,53,54,13,1
13,FE,63,64,14,1
14,TAP,3,4,15,2
15,BWA,4,5,16,1
16,AAPL,5,6,17,2
17,SPG,6,7,18,1
18,FIS,7,8,19,1
19,KORS,133,134,20,1
20,EW,145,146,21,1
21,EW,145,146,22,1
22,GT,8,9,23,10
23,GIS,9,10,24,1
24,FE,63,64,25,1
25,KORS,133,134,26,2
26,MJN,10,11,27,1
27,FE,63,64,28,1
28,HUM,36,37,29,1
29,A,96,97,30,1
30,CAH,87,88,31,1
31,K,41,42,32,2
32,CAH,87,88,33,1
33,LB,90,91,34,4
34,MMM,79,80,35,4
35,FE,63,64,36,1
36,NWL,11,12,37,27
37,GE,12,13,38,1
38,GD,13,14,39,1
39,VAR,14,15,40,2
40,AMZN,15,16,41,1
41,XRAY,22,23,42,11
42,SEE,152,153,43,1
43,CERN,102,103,44,1
44,A,96,97,45,1
45,K,41,42,46,1
46,MUR,147,148,47,1
47,VAR,14,15,48,1
48,DISCA,139,140,49,1
49,FE,63,64,50,1
50,K,41,42,51,1
51,MAS,16,17,52,1
52,CERN,102,103,53,1
53,NOC,53,54,54,22
54,MAR,17,18,55,1
55,A,96,97,56,1
56,HIG,95,96,57,2
57,HUM,36,37,58,1
58,SEE,152,153,59,1
59,MUR,147,148,60,1
60,CERN,102,103,61,1
61,FE,63,64,62,1
62,CERN,102,103,63,1
63,APA,126,127,64,23
64,MAT,18,19,65,1
65,CTSH,83,84,66,1
66,CAH,87,88,67,1
67,A,96,97,68,1
68,CERN,102,103,69,1
69,LB,90,91,70,1
70,NOC,53,54,71,1
71,NOC,53,54,72,1
72,CERN,102,103,73,1
73,SNA,19,20,74,1
74,AVB,105,106,75,1
75,FOXA,20,21,76,1
76,FE,63,64,77,1
77,SNI,21,22,78,1
78,FE,63,64,79,1
79,CAH,87,88,80,9
80,APA,126,127,81,1
81,NLSN,121,122,82,1
82,XRAY,22,23,83,1
83,BMS,136,137,84,2
84,BMS,136,137,85,1
85,HUM,36,37,86,1
86,MAC,23,24,87,1
87,XYL,25,26,88,10
88,CMS,34,35,89,1
89,HUM,36,37,90,1
90,SEE,152,153,91,4
91,HUM,36,37,92,1
92,APA,126,127,93,1
93,JNJ,24,25,94,3
94,FE,63,64,95,1
95,HUM,36,37,96,3
96,CAH,87,88,97,5
97,XYL,25,26,98,1
98,HUM,36,37,99,1
99,XRAY,22,23,100,1
100,CAH,87,88,101,1
101,TSN,26,27,102,1
102,K,41,42,103,24
103,A,96,97,104,1
104,APA,126,127,105,1
105,CERN,102,103,106,1
106,HUM,36,37,107,1
107,CERN,102,103,108,1
108,NOC,53,54,109,2
109,TSO,27,28,110,1
110,NOC,53,54,111,1
111,HUM,36,37,112,1
112,HUM,36,37,113,1
113,BEN,28,29,114,1
114,EL,29,30,115,1
115,CMS,34,35,116,1
116,XRAY,22,23,117,1
117,XRAY,22,23,118,1
118,CMG,30,31,119,1
119,FE,63,64,120,1
120,CME,31,32,121,1
121,CMA,32,33,122,2
122,SEE,152,153,123,1
123,NLSN,121,122,124,1
124,CERN,102,103,125,1
125,PCL,33,34,126,1
126,CMS,34,35,127,7
127,CERN,102,103,128,1
128,NOC,53,54,129,1
129,VLO,35,36,130,1
130,HUM,36,37,131,1
131,PCLN,37,38,132,1
132,LUV,146,147,133,1
133,FSLR,38,39,134,10
134,HCP,39,40,135,1
135,FE,63,64,136,2
136,FTR,40,41,137,3
137,CERN,102,103,138,1
138,K,41,42,139,1
139,FFIV,42,43,140,4
140,NOC,53,54,141,1
141,MUR,147,148,142,1
142,MMM,79,80,143,1
143,BMS,136,137,144,1
144,BLL,43,44,145,1
145,ORLY,44,45,146,2
146,FE,63,64,147,6
147,DISCA,139,140,148,3
148,SPG,6,7,149,1
149,BLK,45,46,150,1
150,FTI,46,47,151,1
151,PCL,33,34,152,1
152,A,96,97,153,8
153,HCN,47,48,154,1
154,NFX,48,49,,
155,MA,49,50,,
156,CBG,50,51,,
157,PRGO,51,52,,
158,MO,52,53,,
159,CAH,87,88,,
160,MMM,79,80,,
161,NOC,53,54,,
162,MU,54,55,,
163,CERN,102,103,,
164,NDAQ,55,56,,
165,FE,63,64,,
166,CAH,87,88,,
167,NOC,53,54,,
168,CME,31,32,,
169,DISCA,139,140,,
170,SE,56,57,,
171,NOC,53,54,,
172,MS,57,58,,
173,HUM,36,37,,
174,HUM,36,37,,
175,LUV,146,147,,
176,TJX,58,59,,
177,FE,63,64,,
178,HUM,36,37,,
179,NOV,59,60,,
180,K,41,42,,
181,AMGN,60,61,,
182,HUM,36,37,,
183,A,96,97,,
184,CERN,102,103,,
185,K,41,42,,
186,CERN,102,103,,
187,FB,61,62,,
188,SE,56,57,,
189,HUM,36,37,,
190,COST,62,63,,
191,CAH,87,88,,
192,XRAY,22,23,,
193,FE,63,64,,
194,SEE,152,153,,
195,CTL,64,65,,
196,HUM,36,37,,
197,DOV,65,66,,
198,LH,93,94,,
199,DOW,66,67,,
200,APA,126,127,,
201,CMS,34,35,,
202,VFC,108,109,,
203,MSFT,67,68,,
204,KORS,133,134,,
205,LB,90,91,,
206,BSX,68,69,,
207,GGP,69,70,,
208,MDT,70,71,,
209,F,71,72,,
210,SEE,152,153,,
211,BMS,136,137,,
212,APA,126,127,,
213,MUR,147,148,,
214,HUM,36,37,,
215,NOC,53,54,,
216,XRAY,22,23,,
217,CVS,72,73,,
218,JEC,73,74,,
219,NOC,53,54,,
220,V,74,75,,
221,FMC,75,76,,
222,TSCO,76,77,,
223,SEE,152,153,,
224,NOC,53,54,,
225,NTAP,77,78,,
226,HCP,39,40,,
227,FE,63,64,,
228,LMT,78,79,,
229,MMM,79,80,,
230,SO,80,81,,
231,CERN,102,103,,
232,CAH,87,88,,
233,K,41,42,,
234,JNPR,81,82,,
235,NOC,53,54,,
236,MMC,82,83,,
237,MMM,79,80,,
238,CERN,102,103,,
239,CTSH,83,84,,
240,FE,63,64,,
241,ADBE,84,85,,
242,IBM,85,86,,
243,KORS,133,134,,
244,FE,63,64,,
245,KORS,133,134,,
246,BAX,86,87,,
247,CAH,87,88,,
248,SEE,152,153,,
249,HUM,36,37,,
250,CAM,88,89,,
251,GS,89,90,,
252,LB,90,91,,
253,LM,91,92,,
254,LUV,146,147,,
255,TE,92,93,,
256,MMM,79,80,,
257,LH,93,94,,
258,HUM,36,37,,
259,PGR,94,95,,
260,HIG,95,96,,
261,NOC,53,54,,
262,A,96,97,,
263,NOC,53,54,,
264,CERN,102,103,,
265,ABC,97,98,,
266,APA,126,127,,
267,K,41,42,,
268,FE,63,64,,
269,BWA,4,5,,
270,K,41,42,,
271,CERN,102,103,,
272,APA,126,127,,
273,RTN,135,136,,
274,STI,98,99,,
275,STJ,99,100,,
276,ABT,100,101,,
277,FE,63,64,,
278,FE,63,64,,
279,LB,90,91,,
280,STX,101,102,,
281,CERN,102,103,,
282,CERN,102,103,,
283,XRAY,22,23,,
284,RSG,103,104,,
285,PCL,33,34,,
286,MMM,79,80,,
287,SEE,152,153,,
288,CAH,87,88,,
289,PNW,104,105,,
290,SEE,152,153,,
291,AVB,105,106,,
292,NOC,53,54,,
293,NOC,53,54,,
294,CERN,102,103,,
295,PNC,106,107,,
296,HIG,95,96,,
297,BXP,107,108,,
298,FE,63,64,,
299,HUM,36,37,,
300,XRAY,22,23,,
301,KORS,133,134,,
302,VFC,108,109,,
303,AON,109,110,,
304,RAI,110,111,,
305,HUM,36,37,,
306,FE,63,64,,
307,CERN,102,103,,
308,PRU,111,112,,
309,RF,112,113,,
310,CERN,102,103,,
311,RL,113,114,,
312,URBN,114,115,,
313,CAH,87,88,,
314,CHK,115,116,,
315,L,116,117,,
316,HRS,117,118,,
317,CERN,102,103,,
318,HRL,118,119,,
319,MAS,16,17,,
320,DISCA,139,140,,
321,MRK,119,120,,
322,MMM,79,80,,
323,IPG,120,121,,
324,NOC,53,54,,
325,KORS,133,134,,
326,NOC,53,54,,
327,HIG,95,96,,
328,NLSN,121,122,,
329,RHT,122,123,,
330,HUM,36,37,,
331,KORS,133,134,,
332,RHI,123,124,,
333,NOC,53,54,,
334,APH,124,125,,
335,APC,125,126,,
336,LUV,146,147,,
337,APA,126,127,,
338,CAH,87,88,,
339,APD,127,128,,
340,KSU,128,129,,
341,KSS,129,130,,
342,CERN,102,103,,
343,KORS,133,134,,
344,MMM,79,80,,
345,LUV,146,147,,
346,WFC,130,131,,
347,IFF,131,132,,
348,KORS,133,134,,
349,K,41,42,,
350,FE,63,64,,
351,NVDA,132,133,,
352,SEE,152,153,,
353,KORS,133,134,,
354,AVGO,134,135,,
355,RTN,135,136,,
356,APA,126,127,,
357,BMS,136,137,,
358,BMY,137,138,,
359,FE,63,64,,
360,AFL,138,139,,
361,DISCA,139,140,,
362,PAYX,140,141,,
363,LUV,146,147,,
364,K,41,42,,
365,CERN,102,103,,
366,OXY,141,142,,
367,FE,63,64,,
368,FE,63,64,,
369,HUM,36,37,,
370,NOC,53,54,,
371,CTSH,83,84,,
372,ED,142,143,,
373,EW,145,146,,
374,LH,93,94,,
375,APA,126,127,,
376,A,96,97,,
377,HUM,36,37,,
378,HUM,36,37,,
379,EA,143,144,,
380,HUM,36,37,,
381,CERN,102,103,,
382,CSC,144,145,,
383,EW,145,146,,
384,KORS,133,134,,
385,LUV,146,147,,
386,CERN,102,103,,
387,MUR,147,148,,
388,WYN,148,149,,
389,FE,63,64,,
390,MUR,147,148,,
391,PCL,33,34,,
392,LB,90,91,,
393,SYMC,149,150,,
394,MMM,79,80,,
395,FE,63,64,,
396,ADSK,150,151,,
397,CERN,102,103,,
398,CERN,102,103,,
399,SPG,6,7,,
400,XRAY,22,23,,
401,HUM,36,37,,
402,ECL,151,152,,
403,SEE,152,153,,
404,PVH,153,154,,
